Plant name ,Disease name,Disease detail,Cause of disease ,Treatment on it,Plant Health Tips 
Corn_(maize),Northern Leaf blight,"Northern corn leaf blight (NCLB) is caused by the fungus Setosphaeria turcica. Symptoms usually appear first on the lower leaves. Leaf lesions are long (1 to 6 inches) and elliptical, gray-green at first but then turn pale gray or tan. Under moist conditions, dark gray spores are produced, usually on the lower leaf surface, which give lesions a ""dirty"" gray appearance. Entire leaves on severely blighted plants can die, so individual lesions are not visible. Lesions may occur on the outer husk of ears, but the kernels are not infected. On hybrids that contain an Ht gene for resistance to the fungus, lesions are smaller, chlorotic, and may develop into linear streaks. These lesions rarely produce spores.","corn (maize) caused by Exserohilum turcicum, the anamorph of the ascomycete Setosphaeria turcica. With its characteristic cigar-shaped lesions, this disease can cause significant yield loss in susceptible corn hybrids.","Treating northern corn leaf blight involves using fungicides. For most home gardeners this step isn't needed, but if you have a bad infection, you may want to try this chemical treatment. The infection usually begins around the time of silking, and this is when the fungicide should be applied.The integration of early sowing, seed treatment and foliar spray with Tilt 25 EC (propiconazole) was the best combination in controlling maydis leaf blight and increasing maize yield.",The spray schedule should start when the first lesions appear on the leaf below the ear on 50% of the plants. Applications made at tasseling or silking (VT/R1) provide the most consistent results in terms of disease control and yield response. Several fungicides are available for use on corn for NCLB control.
Grape,Black rot,"Black rot is one of the most damaging diseases of grapes in Ohio and other northeastern states. The disease is caused by the fungus Guignardia bidwellii. The fungus can infect the leaves, shoots, berries, tendrils, rachises and cluster stems (peduncles) of grapes. If the disease is not managed early in the season, the impact on grape clusters can be devastating, resulting in complete crop losses.","Grape black rot is a fungal disease caused by an ascomycetous fungus, Guignardia bidwellii, that attacks grape vines during hot and humid weather.","Copper products can be effective if applied at the right time, and some are approved for organic systems. Probiotic sprays, plant defence-enhancing sprays or sprays containing antagonistic bacteria such as Bacillus spp. may be successful in controlling black rot.","Black rot spores love moisture, so you want to reduce the amount of moisture held in the canopy by providing great air circulation. During dormancy, prune heavily keeping only a few healthy, strong canes from last year's growth. Prune out any diseased parts of the vine too."
Grape,Esca (Black Measles),"Esca attacks the perennial organs of the plants, producing extensive wood necroses in the trunk and cordon. Typical symptoms can be observed on leaves (“tiger-stripe"" discolorations) as well as on berries (small size, black measles, sugar content, and affect flavor). Grapevine plant growth may decline and then die."," Esca is caused by a complex of fungi that includes several species of Phaeoacremonium, primarily by P. aleophilum (currently known by the name of its sexual stage, Togninia minima), and by Phaeomoniella chlamydospora.","A dormant spray of lime sulfur may reduce overwintering inoculum of Phomopsis. When applying lime sulfur it is important to thoroughly soak the vines. Therefore tractor speed and spray volume should be adjusted. If vines are thoroughly soaked, this treatment may also reduce the overwintering spores of powdery mildew.",Apply dormant sprays to reduce inoculum levels.
Grape,Healthy grape,"No need to any effort on it.  Just give them basic needs for better growth and production. Plants need air, light, warmth, water and nutrients to be healthy.",,,
Grape,Leaf blight (Isariopsis Leaf Spot),On leaf surface we will see lesions which are irregularly shaped (2 to 25 mm in diameter). Initially lesions are dull red to brown in color turn black later. If disease is severe this lesions may coalesce. On berries we can see symptom similar to black rot but the entire clusters will collapse.,"Berry stems and cluster stems may be invaded, causing them to shrivel. When the fungus decays berries low in sugar, the rotting berry has a sour odor and taste.",Fungicides sprayed for other diseases in the season may help to reduce this disease.,The disease appear late in the season. Cynthiana and Cabernet Sauvignon are susceptible to this pathogen.
Orange,Huanglongbing (Citrus  greening),"HLB is distinguished by the common symptoms of yellowing of the veins and adjacent tissues; followed by splotchy mottling of the entire leaf, premature defoliation, dieback of twigs, decay of feeder rootlets and lateral roots, and decline in vigor, ultimately followed by the death of the entire plant."," It caused by a virus, it is now known to be caused by unculturable phloem-limited bacteria. There are three forms of greening that have been described.","HLB can kill a citrus tree in as little as 5 years, and there is no known cure or remedy. All commonly grown citrus varieties are susceptible to the pathogen. The only way to protect trees is to prevent the spread of the HLB pathogen by controlling psyllid populations and destroying any infected trees.","Once a tree has citrus greening, there is no cure. Over time, your tree will deteriorate and the disease will ultimately destroy the tree. It is incredibly important to remove trees that have citrus greening disease."
Peach,bacterial spot,"Bacterial spot is an important disease of peaches, nectarines, apricots, and plums.An early symptom of bacterial leaf spot is small (less than 0.25 inch in diameter), water-soaked leaf spots on the older leaves of the plant. These lesions are typically bordered by leaf veins and angular in shape. Lesions quickly turn black (a diagnostic characteristic of this disease).","Causes by Xanthomonas campestris pv. pruni. Symptoms of this disease include fruit spots, leaf spots, and twig cankers. Fruit symptoms include pitting, cracking, gumming, and watersoaked tissue, which can make the fruit more susceptible to brown rot, rhizopus, and other fungal infections. Severe leaf spot infections can cause early defoliation. Severe defoliation can result in reduced fruit size, and sunburn and cracking of fruit. Early defoliated trees are reduced in vigor and winter hardiness.","Compounds available for use on peach and nectarine for bacterial spot include copper, oxytetracycline (Mycoshield and generic equivalents), and syllit+captan; however, repeated applications are typically necessary for even minimal disease control.","Bacterial spot is a difficult disease to control when environmental conditions favor pathogen spread. As with all bacterial plant diseases, there are relatively few bactericide chemicals available for use."
Peach,Healthy Peach,"No need to any effort on it.  Just give them basic needs for better growth and production. Plants need air, light, warmth, water and nutrients to be healthy.",,,
Pepper,Bell bacterial spot,"Bacterial spot is one of the most devastating diseases of pepper and tomato grown in warm, moist environments. Once present in the crop, it is almost impossible to control the disease and prevent major fruit loss when environmental conditions remain favorable. The study of this bacterial pathogen also has significantly enhanced the scientific understanding of host-pathogen interactions and the molecular basis of the gene-for-gene model.",Bacterial spot on pepper is caused by the bacterium Xanthomonas campestris pv. vesicatoria. Warm and humid conditions favor the disease. The disease organism can be spread by rain or during overhead irrigation.,"For bacterial leaf spot, the following methods can be used to reduce the survival, spread and reproduction of bacteria and to minimize the infection of plants: using resistant varieties, seed treatment, foliage treatment and using an integrated strategy.","In addition to scouting the field to time treatments, removing infected plants to reduce the spread of bacteria and timing mechanical and labor operations to occur at times when the risk of spreading leaf spot bacteria is low."
Pepper,Healthy Pepper,"No need to any effort on it.  Just give them basic needs for better growth and production. Plants need air, light, warmth, water and nutrients to be healthy.",,,
Potato,Early blight,"Early blight is found wherever potatoes are grown. The disease primarily affects leaves and stems, but under favorable weather conditions, and if left uncontrolled, can result in considerable defoliation and enhance the chance for tuber infection.",Early blight (EB) is a disease of potato caused by the fungus Alternaria solani. It is found wherever potatoes are grown. ,There is no cure for potato blight when your plants are infected. The first action to take is to cut off all growth above soil level and burn it as soon as possible. This will minimise the infection on your soil and also reduce the risk of you passing potato blight on to neighbours and that includes neighbouring farms.,Early blight includes prevention by planting potato varieties that are resistant to the disease; late maturing are more resistant than early maturing varieties. Avoid overhead irrigation and allow for sufficient aeration between plants to allow the foliage to dry as quickly as possible. 
Potato,Healthy Potato,"No need to any effort on it.  Just give them basic needs for better growth and production. Plants need air, light, warmth, water and nutrients to be healthy.",,,
Potato,Late blight,"Late blight in the field are small, light to dark green, circular to irregular-shaped water-soaked spots (Figure 1). These lesions usually appear first on the lower leaves. Lesions often begin to develop near the leaf tips or edges, where dew is retained the longest.","Late blight is caused by the oomycete Phytophthora infestans. Oomycetes are fungus-like organisms also called water molds, but they are not true fungi. There are many different strains of P. infestans.","Late blight is controlled by eliminating cull piles and volunteer potatoes, using proper harvesting and storage practices, and applying fungicides when necessary. Air drainage to facilitate the drying of foliage each day is important."," Pull the Late Blight Infected Plants: Pull and remove infected plants, bag up the foliage and unripe tomatoes into black trash bags, and disposed it along with the household trash."
Raspberry,Healthy Raspberry,"No need to any effort on it.  Just give them basic needs for better growth and production. Plants need air, light, warmth, water and nutrients to be healthy.",,,
Soyabean,Healthy Soyabean,"No need to any effort on it.  Just give them basic needs for better growth and production. Plants need air, light, warmth, water and nutrients to be healthy.",,,
squash,Powdery mildew,"The first sign of powdery mildew on squash are small, white, dusty spots on the young leaves. Initially, there will only be a few spots, but it spreads quickly, eventually covering the entire leaf surface. Powdery mildew is most commonly seen on the top of the leaves, but it can also appear on the leaf undersides, the stems, and even on the fruits.","Mainly caused by the fungus Podosphaera xanthii, infects all cucurbits, including muskmelons, squash, cucumbers, gourds, watermelons and pumpkins. In severe cases, powdery mildew can cause premature death of leaves, and reduce yield and fruit quality.","Powdery mildew fungicide: Use sulfur-containing organic fungicides as both preventive and treatment for existing infections. Trim or prune: Remove the affected leaves, stems, buds, fruit or vegetables from the plant and discard. Some perennials can be cut down to the ground and new growth will emerge.",A better treatment solution for your squash plants is baking soda. Baking soda is an excellent option for treating powdery mildew.
Strawberry,Healthy Strawberry,"No need to any effort on it.  Just give them basic needs for better growth and production. Plants need air, light, warmth, water and nutrients to be healthy.",,,
Strawberry,Leaf scorch,"Strawberry leaf scorch is the most common leaf disease of strawberries, affecting the growth and yield of strawberry plants in the season it occurs as well as subsequent seasons in the same field. Leaf scorch is the most prevalent disease affecting strawberries in Ontario, Canada.[14] While the fruit of diseased plants are still edible, the market value decreases greatly because of consumer demand for the perfect, unblemished strawberry.",Scorched strawberry leaves are caused by a fungal infection which affects the foliage of strawberry plantings. The fungus responsible is called Diplocarpon earliana. Strawberries with leaf scorch may first show signs of issue with the development of small purplish blemishes that occur on the topside of leaves.,"Bacterial leaf scorch has no known cure. A variety of management practices can successfully extend the longevity of infected trees. These include treatment with antibiotics and water stress reduction through mulching, irrigation, and growth regulation."," If the disease is detected early, its development may be slowed using fungicides."
Tomato,bacterial spot,"The bacterial spot bacterium persists from one season to the next in crop debris, on volunteer tomatoes, and on weed hosts such as nightshade and groundcherry. The bacterium is seedborne and can occur within the seed and on the seed surface. The pathogen is spread with the seed or on transplants. Secondary spread within a field occurs by splashing water from sprinkler irrigation or rain. Infection is favored by high relative humidity and free moisture on the plant.","Bacterial spot of tomato is caused by Xanthomonas vesicatoria, Xanthomonas euvesicatoria, Xanthomonas gardneri, and Xanthomonas perforans. These bacterial pathogens can be introduced into a garden on contaminated seed and transplants, which may or may not show symptoms.",Top recommendation to control leaf spot is Patch Pro. This product contains the active ingredient propiconazole which works effectively to eliminate Leaf Spot and keeps it from spreading. It's also cost-effective and one of our more affordable fungicides.,"Avoid bacterial spot on tomato. Avoiding sprinkler irrigation and cull piles near greenhouse or field operations, and rotating with a nonhost crop also helps control the disease."
Tomato,Early blight,"Early blight is one of the most common tomato diseases, occurring nearly every season wherever tomatoes are grown.It affects leaves, fruits and stems and can be severely yield limiting when susceptible cultivars are used and weather is favorable.Severe defoliation can occur and result in sunscald on the fruit.It is common in both field and high tunnel tomato production in Minnesota.","Early blight (one form of tomato blight) is caused by a fungus, Alternaria solani, which over-winters in the soil and infected plants. Affected plants underproduce. Leaves may drop, leaving fruit open to sunscald.",Treatment. Tomatoes that have early blight require immediate attention before the disease takes over the plants. Thoroughly spray the plant (bottoms of leaves also) with Bonide Liquid Copper Fungicide concentrate or Bonide Tomato & Vegetable. Both of these treatments are organic.,"Once blight is present and progresses, it becomes more resistant to biofungicide and fungicide. Treat it as soon as possible and on a schedule."
Tomato,Healthy Tomato,"No need to any effort on it.  Just give them basic needs for better growth and production. Plants need air, light, warmth, water and nutrients to be healthy.",,,
Tomato,Late blight,"Late blight is a potentially devastating disease of tomato and potato, infecting leaves, stems and fruits of tomato plants. The disease spreads quickly in fields and can result in total crop failure if untreated. Late blight of potato was responsible for the Irish potato famine of the late 1840s","Tomato late blight is caused by the oomycete pathogen Phytophthora infestans (P. infestans). The pathogen is best known for causing the devastating Irish potato famine, which killed over a million people, and caused another million to leave the country.",Apply fungicides at 5-7 day intervals. Alternate products and tank mix with chlorothalonil to avoid generating fungicide-resistant strains. For the latest fungicide recommendations for tomato late blight see the Southeastern US Vegetable Crop Handbook.,Avoid planting tomatoes on sites that were previously in potatoes or close to potatoes. Sequential planting or planting several crops of tomatoes over time will reduce the risk of late blight destroying all tomatoes at once. Spraying fungicides is the most effective way to prevent late blight.
Tomato,Leaf Mold,"Tomato leaf mold is a fungal disease that can develop when there are extended periods of leaf wetness and the relative humidity is high (greater than 85 percent). Due to this moisture requirement, the disease is seen primarily in hoophouses and greenhouses.",Tomato leaf mold is caused by a fungal pathogen called Passalora fulva (syn. Cladosporium fulvum). It is an ascomycete fungus that lives on living tomato leaves. The fungus produces conidia that infect the lower surfaces of leaves., Calcium chloride-based sprays are recommended for treating leaf mold issues. Organic fungicide options are also available.,Use drip irrigation and avoid watering foliage. · Space plants to provide good air movement between rows 
Tomato,Septoria Leaf Spot,"Septoria Leaf Spot is one of the most destructive diseases of tomato foliage and is particularly severe in areas where wet, humid weather persists for extended periods. Septoria leaf spot usually appears on the lower leaves after the first fruit sets.","Septoria leaf spot is caused by a fungus, Septoria lycopersici.","Treat organically with copper spray, which you can purchase online, at the hardware store, or home improvement center. Follow label directions. You can apply until the leaves are dripping, once a week and after each rain. Or you can treat it organically with a biofungicide like Serenade.","Removing infected leaves. Remove infected leaves immediately, and be sure to wash your hands and pruners thoroughly before working with uninfected plants."
Tomato,Spider mites Two spotted spider mite,The tomato red spider mites are pale-orange to red and feed on the underside of leaves. They cannot be seen easily with the naked eye. Feeding damage caused by sucking sap appears as many shiny pale yellow marks on the top of the tomato leaf. Eventually the leaves turn brown and die or fall off.,"Spider mite feeding causes whitening or yellowing of leaves, which then dry out and eventually fall off. In the case of severe attacks, plant damage progresses very quickly, and hosts may die within 3–5 weeks, if no management actions are taken.","Spray tomato plants with horticultural oil, which smothers the mites. Apply oil only when beneficial insects aren't present on the plant and don't spray on breezy days when the oil may drift and kill beneficial insects.","Extension horticulturists currently recommend aiming a hard stream of water at infested plants to knock spider mites off the plants. Other options include insecticidal soaps, horticultural oils, or neem oil."
Tomato,Target Spot,"Target spot on tomato fruit is difficult to control because the spores, which survive on plant refuse in the soil, are carried over from season to season.Target spot on tomato fruit is difficult to recognize in the early stages, as the disease resembles several other fungal diseases of tomatos.","Target spot of tomato caused by Corynespora cassiicola, is a serious foliar disease of both greenhouse and field grown tomatoes.","Fungicides are needed to give adequate control. The products to use are chlorothalonil, copper oxychloride or mancozeb. Treatment should start when the first spots are seen and continue at 10-14-day intervals until 3-4 weeks before last harvest.",Target spot of tomato is favored by temperatures of 68 to 82°F and leaf wetness periods as long as 16 hours
Tomato,Tomato mosaic virus,"The tomato crop is highly susceptible to the Tomato mosaic virus (ToMV). The symptoms vary from tiles, wrinkle, reduction and curvature of leaflets, and irregular ripening of fruits. This disease requires attention because of its easy dissemination by contact, cultural practices, or contaminated seed.","The tomato potyviruses have wide host ranges, including other crops and many weed species, particularly within the plant family Solanaceae.","There is no cure for mosaic viruses. Because of this, prevention is key! However, if plants in your garden do show symptoms of having mosaic viruses, here's how to minimize the damage: Remove all infected plants and destroy them.", Wash hands thoroughly after smoking (the Tobacco mosaic virus may be present in certain types of tobacco) and before working in the garden. Eliminate weeds in and near the garden.
Tomato,Tomato yellow Leaf Curl virus,Tomato yellow leaf curl disease can be observed in tomato fields throughout the affected regions. The virus is transmitted to tomato plants after vector feeding on infected tomato plants or alternative hosts. The disease is first observed on tomato seedlings about 3 weeks after transplanting.,Tomato yellow leaf curl virus is a species in the genus Begomovirus and family Geminiviridae. Tomato yellow leaf curl virus (TYLCV) infection induces severe symptoms on tomato plants and causes serious yield losses worldwide. , Imidacloprid should be sprayed on the entire plant and below the leaves; eggs and flies are often found below the leaves. Spray every 14-21 days and rotate on a monthly basis with Abamectin so that the whiteflies do not build-up resistance to chemicals.,Rapid and precise tests for Tomato yellow leaf curl virus are available at UC Davis and CDFA. These tests can be carried out in less than 24 hours.
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
